sk_diag;cid;descricao_cid;categoria_cid
284;I200;CID I200;Doenças do aparelho circulatório
285;K860;CID K860;Doenças do aparelho digestivo
286;N480;CID N480;Doenças do aparelho geniturinário
287;S527;CID S527;Lesões e causas externas
288;S923;CID S923;Lesões e causas externas
289;S822;CID S822;Lesões e causas externas
290;T841;CID T841;Lesões e causas externas
291;T63;CID T63;Lesões e causas externas
292;K56;CID K56;Doenças do aparelho digestivo
293;K800;CID K800;Doenças do aparelho digestivo
294;T479;CID T479;Lesões e causas externas
295;K296;CID K296;Doenças do aparelho digestivo
296;O239;CID O239;Gravidez, parto e puerpério
297;L509;CID L509;Doenças da pele
298;J448;CID J448;Doenças do aparelho respiratório
299;C67;CID C67;Neoplasias
300;N209;CID N209;Doenças do aparelho geniturinário
301;O064;CID O064;Gravidez, parto e puerpério
302;J342;CID J342;Doenças do aparelho respiratório
303;C448;CID C448;Neoplasias
304;S065;CID S065;Lesões e causas externas
305;O689;CID O689;Gravidez, parto e puerpério
306;O008;CID O008;Gravidez, parto e puerpério
307;O909;CID O909;Gravidez, parto e puerpério
308;O85;CID O85;Gravidez, parto e puerpério
309;K297;CID K297;Doenças do aparelho digestivo
310;A060;CID A060;Doenças infecciosas e parasitárias
311;K625;CID K625;Doenças do aparelho digestivo
312;J14;CID J14;Doenças do aparelho respiratório
313;C959;CID C959;Neoplasias
314;C218;CID C218;Neoplasias
315;A084;CID A084;Doenças infecciosas e parasitárias
316;K566;CID K566;Doenças do aparelho digestivo
317;T848;CID T848;Lesões e causas externas
318;O13;CID O13;Gravidez, parto e puerpério
319;O001;CID O001;Gravidez, parto e puerpério
320;Q518;CID Q518;Malformações congênitas
321;O300;CID O300;Gravidez, parto e puerpério
322;O244;CID O244;Gravidez, parto e puerpério
323;R104;CID R104;Sintomas e sinais anormais
324;O051;CID O051;Gravidez, parto e puerpério
325;T639;CID T639;Lesões e causas externas
326;A509;CID A509;Doenças infecciosas e parasitárias
327;J459;CID J459;Doenças do aparelho respiratório
328;P509;CID P509;Afecções perinatais
329;N049;CID N049;Doenças do aparelho geniturinário
330;I888;CID I888;Doenças do aparelho circulatório
331;N009;CID N009;Doenças do aparelho geniturinário
332;B002;CID B002;Doenças infecciosas e parasitárias
333;S522;CID S522;Lesões e causas externas
334;S526;CID S526;Lesões e causas externas
335;S424;CID S424;Lesões e causas externas
336;N47;CID N47;Doenças do aparelho geniturinário
337;O759;CID O759;Gravidez, parto e puerpério
338;O750;CID O750;Gravidez, parto e puerpério
339;S523;CID S523;Lesões e causas externas
340;N832;CID N832;Doenças do aparelho geniturinário
341;D259;CID D259;Neoplasias / Doenças do sangue
342;D250;CID D250;Neoplasias / Doenças do sangue
343;I456;CID I456;Doenças do aparelho circulatório
344;C774;CID C774;Neoplasias
345;I210;CID I210;Doenças do aparelho circulatório
346;T203;CID T203;Lesões e causas externas
347;S099;CID S099;Lesões e causas externas
348;L97;CID L97;Doenças da pele
349;T233;CID T233;Lesões e causas externas
350;N350;CID N350;Doenças do aparelho geniturinário
351;O021;CID O021;Gravidez, parto e puerpério
352;O623;CID O623;Gravidez, parto e puerpério
353;O998;CID O998;Gravidez, parto e puerpério
354;O243;CID O243;Gravidez, parto e puerpério
355;P073;CID P073;Afecções perinatais
356;P398;CID P398;Afecções perinatais
357;P229;CID P229;Afecções perinatais
358;I350;CID I350;Doenças do aparelho circulatório
359;N40;CID N40;Doenças do aparelho geniturinário
360;I674;CID I674;Doenças do aparelho circulatório
361;J068;CID J068;Doenças do aparelho respiratório
362;G309;CID G309;Doenças do sistema nervoso
363;C449;CID C449;Neoplasias
364;T96;CID T96;Lesões e causas externas
365;C003;CID C003;Neoplasias
366;G318;CID G318;Doenças do sistema nervoso
367;F608;CID F608;Transtornos mentais e comportamentais
368;F175;CID F175;Transtornos mentais e comportamentais
369;F328;CID F328;Transtornos mentais e comportamentais
370;F238;CID F238;Transtornos mentais e comportamentais
371;F312;CID F312;Transtornos mentais e comportamentais
372;F609;CID F609;Transtornos mentais e comportamentais
373;O680;CID O680;Gravidez, parto e puerpério
374;I600;CID I600;Doenças do aparelho circulatório
375;I110;CID I110;Doenças do aparelho circulatório
376;P599;CID P599;Afecções perinatais
377;A502;CID A502;Doenças infecciosas e parasitárias
378;B24;CID B24;Doenças infecciosas e parasitárias
379;K710;CID K710;Doenças do aparelho digestivo
380;T630;CID T630;Lesões e causas externas
381;C158;CID C158;Neoplasias
382;T959;CID T959;Lesões e causas externas
383;S469;CID S469;Lesões e causas externas
384;K919;CID K919;Doenças do aparelho digestivo
385;M009;CID M009;Doenças do sistema osteomuscular
386;S422;CID S422;Lesões e causas externas
387;S681;CID S681;Lesões e causas externas
388;I240;CID I240;Doenças do aparelho circulatório
389;S925;CID S925;Lesões e causas externas
390;N200;CID N200;Doenças do aparelho geniturinário
391;T297;CID T297;Lesões e causas externas
392;S023;CID S023;Lesões e causas externas
393;N138;CID N138;Doenças do aparelho geniturinário
394;K72;CID K72;Doenças do aparelho digestivo
395;K29;CID K29;Doenças do aparelho digestivo
396;K922;CID K922;Doenças do aparelho digestivo
397;I680;CID I680;Doenças do aparelho circulatório
398;L984;CID L984;Doenças da pele
399;S31;CID S31;Lesões e causas externas
400;S730;CID S730;Lesões e causas externas
401;S821;CID S821;Lesões e causas externas
402;S830;CID S830;Lesões e causas externas
403;Z741;CID Z741;Fatores que influenciam o estado de saúde
404;S528;CID S528;Lesões e causas externas
405;T294;CID T294;Lesões e causas externas
406;S219;CID S219;Lesões e causas externas
407;C950;CID C950;Neoplasias
408;G610;CID G610;Doenças do sistema nervoso
409;J969;CID J969;Doenças do aparelho respiratório
410;T131;CID T131;Lesões e causas externas
411;C259;CID C259;Neoplasias
412;S328;CID S328;Lesões e causas externas
413;S017;CID S017;Lesões e causas externas
414;E118;CID E118;Doenças endócrinas e metabólicas
415;C050;CID C050;Neoplasias
416;T758;CID T758;Lesões e causas externas
417;K564;CID K564;Doenças do aparelho digestivo
418;K598;CID K598;Doenças do aparelho digestivo
419;K938;CID K938;Doenças do aparelho digestivo
420;A080;CID A080;Doenças infecciosas e parasitárias
421;I809;CID I809;Doenças do aparelho circulatório
422;S026;CID S026;Lesões e causas externas
423;P95;CID P95;Afecções perinatais
424;T844;CID T844;Lesões e causas externas
425;K420;CID K420;Doenças do aparelho digestivo
426;M713;CID M713;Doenças do sistema osteomuscular
427;S72;CID S72;Lesões e causas externas
428;I21;CID I21;Doenças do aparelho circulatório
429;G919;CID G919;Doenças do sistema nervoso
430;S628;CID S628;Lesões e causas externas
431;S370;CID S370;Lesões e causas externas
432;I739;CID I739;Doenças do aparelho circulatório
433;T191;CID T191;Lesões e causas externas
434;K81;CID K81;Doenças do aparelho digestivo
435;C001;CID C001;Neoplasias
436;S428;CID S428;Lesões e causas externas
437;C65;CID C65;Neoplasias
438;I69;CID I69;Doenças do aparelho circulatório
439;N359;CID N359;Doenças do aparelho geniturinário
440;K635;CID K635;Doenças do aparelho digestivo
441;K25;CID K25;Doenças do aparelho digestivo
442;S68;CID S68;Lesões e causas externas
443;S066;CID S066;Lesões e causas externas
444;D172;CID D172;Neoplasias / Doenças do sangue
445;L029;CID L029;Doenças da pele
446;C749;CID C749;Neoplasias
447;Q660;CID Q660;Malformações congênitas
448;S431;CID S431;Lesões e causas externas
449;O621;CID O621;Gravidez, parto e puerpério
450;O479;CID O479;Gravidez, parto e puerpério
451;O993;CID O993;Gravidez, parto e puerpério
452;O470;CID O470;Gravidez, parto e puerpério
453;G433;CID G433;Doenças do sistema nervoso
454;F319;CID F319;Transtornos mentais e comportamentais
455;R32;CID R32;Sintomas e sinais anormais
456;S224;CID S224;Lesões e causas externas
457;R52;CID R52;Sintomas e sinais anormais
458;S159;CID S159;Lesões e causas externas
459;I258;CID I258;Doenças do aparelho circulatório
460;C760;CID C760;Neoplasias
461;A305;CID A305;Doenças infecciosas e parasitárias
462;B551;CID B551;Doenças infecciosas e parasitárias
463;I083;CID I083;Doenças do aparelho circulatório
464;S334;CID S334;Lesões e causas externas
465;T814;CID T814;Lesões e causas externas
466;F311;CID F311;Transtornos mentais e comportamentais
467;J154;CID J154;Doenças do aparelho respiratório
468;P598;CID P598;Afecções perinatais
469;P368;CID P368;Afecções perinatais
470;P228;CID P228;Afecções perinatais
471;L080;CID L080;Doenças da pele
472;J129;CID J129;Doenças do aparelho respiratório
473;S056;CID S056;Lesões e causas externas
474;P220;CID P220;Afecções perinatais
475;S430;CID S430;Lesões e causas externas
476;S721;CID S721;Lesões e causas externas
477;I11;CID I11;Doenças do aparelho circulatório
478;G510;CID G510;Doenças do sistema nervoso
479;M861;CID M861;Doenças do sistema osteomuscular
480;S62;CID S62;Lesões e causas externas
481;B55;CID B55;Doenças infecciosas e parasitárias
482;N202;CID N202;Doenças do aparelho geniturinário
483;S12;CID S12;Lesões e causas externas
484;C81;CID C81;Neoplasias
485;Q709;CID Q709;Malformações congênitas
486;T174;CID T174;Lesões e causas externas
487;T093;CID T093;Lesões e causas externas
488;K318;CID K318;Doenças do aparelho digestivo
489;S463;CID S463;Lesões e causas externas
490;C519;CID C519;Neoplasias
491;I514;CID I514;Doenças do aparelho circulatório
492;J958;CID J958;Doenças do aparelho respiratório
493;I792;CID I792;Doenças do aparelho circulatório
494;C859;CID C859;Neoplasias
495;C029;CID C029;Neoplasias
496;S367;CID S367;Lesões e causas externas
497;N938;CID N938;Doenças do aparelho geniturinário
498;D758;CID D758;Neoplasias / Doenças do sangue
499;C341;CID C341;Neoplasias
500;N10;CID N10;Doenças do aparelho geniturinário
501;P968;CID P968;Afecções perinatais
502;P704;CID P704;Afecções perinatais
503;C170;CID C170;Neoplasias
504;P39;CID P39;Afecções perinatais
505;P358;CID P358;Afecções perinatais
506;K808;CID K808;Doenças do aparelho digestivo
507;C220;CID C220;Neoplasias
508;R02;CID R02;Sintomas e sinais anormais
509;S818;CID S818;Lesões e causas externas
510;K83;CID K83;Doenças do aparelho digestivo
511;S70;CID S70;Lesões e causas externas
512;S43;CID S43;Lesões e causas externas
513;M958;CID M958;Doenças do sistema osteomuscular
514;K563;CID K563;Doenças do aparelho digestivo
515;S029;CID S029;Lesões e causas externas
516;O200;CID O200;Gravidez, parto e puerpério
517;O908;CID O908;Gravidez, parto e puerpério
518;O335;CID O335;Gravidez, parto e puerpério
519;O321;CID O321;Gravidez, parto e puerpério
520;O069;CID O069;Gravidez, parto e puerpério
521;O249;CID O249;Gravidez, parto e puerpério
522;N399;CID N399;Doenças do aparelho geniturinário
523;R56;CID R56;Sintomas e sinais anormais
524;C189;CID C189;Neoplasias
525;C180;CID C180;Neoplasias
526;N750;CID N750;Doenças do aparelho geniturinário
527;E111;CID E111;Doenças endócrinas e metabólicas
528;N130;CID N130;Doenças do aparelho geniturinário
529;I159;CID I159;Doenças do aparelho circulatório
530;F102;CID F102;Transtornos mentais e comportamentais
531;R040;CID R040;Sintomas e sinais anormais
532;G419;CID G419;Doenças do sistema nervoso
533;J128;CID J128;Doenças do aparelho respiratório
534;J91;CID J91;Doenças do aparelho respiratório
535;K838;CID K838;Doenças do aparelho digestivo
536;K754;CID K754;Doenças do aparelho digestivo
537;T842;CID T842;Lesões e causas externas
538;S661;CID S661;Lesões e causas externas
539;O034;CID O034;Gravidez, parto e puerpério
540;K403;CID K403;Doenças do aparelho digestivo
541;S724;CID S724;Lesões e causas externas
542;S722;CID S722;Lesões e causas externas
543;K828;CID K828;Doenças do aparelho digestivo
544;O645;CID O645;Gravidez, parto e puerpério
545;O366;CID O366;Gravidez, parto e puerpério
546;B171;CID B171;Doenças infecciosas e parasitárias
547;N258;CID N258;Doenças do aparelho geniturinário
548;S118;CID S118;Lesões e causas externas
549;J218;CID J218;Doenças do aparelho respiratório
550;A858;CID A858;Doenças infecciosas e parasitárias
551;P390;CID P390;Afecções perinatais
552;P070;CID P070;Afecções perinatais
553;N906;CID N906;Doenças do aparelho geniturinário
554;O338;CID O338;Gravidez, parto e puerpério
555;O619;CID O619;Gravidez, parto e puerpério
556;D057;CID D057;Neoplasias / Doenças do sangue
557;C022;CID C022;Neoplasias
558;M211;CID M211;Doenças do sistema osteomuscular
559;K802;CID K802;Doenças do aparelho digestivo
560;K810;CID K810;Doenças do aparelho digestivo
561;T213;CID T213;Lesões e causas externas
562;N813;CID N813;Doenças do aparelho geniturinário
563;O730;CID O730;Gravidez, parto e puerpério
564;O911;CID O911;Gravidez, parto e puerpério
565;O860;CID O860;Gravidez, parto e puerpério
566;P219;CID P219;Afecções perinatais
567;P221;CID P221;Afecções perinatais
568;P925;CID P925;Afecções perinatais
569;O309;CID O309;Gravidez, parto e puerpério
570;O459;CID O459;Gravidez, parto e puerpério
571;C18;CID C18;Neoplasias
572;J988;CID J988;Doenças do aparelho respiratório
573;D720;CID D720;Neoplasias / Doenças do sangue
574;O100;CID O100;Gravidez, parto e puerpério
575;P210;CID P210;Afecções perinatais
576;P051;CID P051;Afecções perinatais
577;P071;CID P071;Afecções perinatais
578;I221;CID I221;Doenças do aparelho circulatório
579;D181;CID D181;Neoplasias / Doenças do sangue
580;I495;CID I495;Doenças do aparelho circulatório
581;Q652;CID Q652;Malformações congênitas
582;M840;CID M840;Doenças do sistema osteomuscular
583;K36;CID K36;Doenças do aparelho digestivo
584;S024;CID S024;Lesões e causas externas
585;K631;CID K631;Doenças do aparelho digestivo
586;K469;CID K469;Doenças do aparelho digestivo
587;R11;CID R11;Sintomas e sinais anormais
588;C711;CID C711;Neoplasias
589;L919;CID L919;Doenças da pele
590;K43;CID K43;Doenças do aparelho digestivo
591;K412;CID K412;Doenças do aparelho digestivo
592;R074;CID R074;Sintomas e sinais anormais
593;I743;CID I743;Doenças do aparelho circulatório
594;S920;CID S920;Lesões e causas externas
595;C482;CID C482;Neoplasias
596;S427;CID S427;Lesões e causas externas
597;N879;CID N879;Doenças do aparelho geniturinário
598;S913;CID S913;Lesões e causas externas
599;Z525;CID Z525;Fatores que influenciam o estado de saúde
600;N188;CID N188;Doenças do aparelho geniturinário
601;K250;CID K250;Doenças do aparelho digestivo
602;I808;CID I808;Doenças do aparelho circulatório
603;I802;CID I802;Doenças do aparelho circulatório
604;K713;CID K713;Doenças do aparelho digestivo
605;T68;CID T68;Lesões e causas externas
606;C227;CID C227;Neoplasias
607;R10;CID R10;Sintomas e sinais anormais
608;I842;CID I842;Doenças do aparelho circulatório
609;M518;CID M518;Doenças do sistema osteomuscular
610;J039;CID J039;Doenças do aparelho respiratório
611;Q249;CID Q249;Malformações congênitas
612;M068;CID M068;Doenças do sistema osteomuscular
613;C506;CID C506;Neoplasias
614;D482;CID D482;Neoplasias / Doenças do sangue
615;N61;CID N61;Doenças do aparelho geniturinário
616;M16;CID M16;Doenças do sistema osteomuscular
617;S217;CID S217;Lesões e causas externas
618;S36;CID S36;Lesões e causas externas
619;M170;CID M170;Doenças do sistema osteomuscular
620;N70;CID N70;Doenças do aparelho geniturinário
621;C92;CID C92;Neoplasias
