sk_diag;cid;descricao_cid;categoria_cid
1228;I694;CID I694;Doenças do aparelho circulatório
1229;S42;CID S42;Lesões e causas externas
1230;S204;CID S204;Lesões e causas externas
1231;R221;CID R221;Sintomas e sinais anormais
1232;C162;CID C162;Neoplasias
1233;N925;CID N925;Doenças do aparelho geniturinário
1234;N949;CID N949;Doenças do aparelho geniturinário
1235;M543;CID M543;Doenças do sistema osteomuscular
1236;S824;CID S824;Lesões e causas externas
1237;Q057;CID Q057;Malformações congênitas
1238;K660;CID K660;Doenças do aparelho digestivo
1239;D802;CID D802;Neoplasias / Doenças do sangue
1240;M878;CID M878;Doenças do sistema osteomuscular
1241;K291;CID K291;Doenças do aparelho digestivo
1242;C780;CID C780;Neoplasias
1243;G638;CID G638;Doenças do sistema nervoso
1244;P261;CID P261;Afecções perinatais
1245;B440;CID B440;Doenças infecciosas e parasitárias
1246;J391;CID J391;Doenças do aparelho respiratório
1247;O363;CID O363;Gravidez, parto e puerpério
1248;R509;CID R509;Sintomas e sinais anormais
1249;L988;CID L988;Doenças da pele
1250;N62;CID N62;Doenças do aparelho geniturinário
1251;E740;CID E740;Doenças endócrinas e metabólicas
1252;C541;CID C541;Neoplasias
1253;O995;CID O995;Gravidez, parto e puerpério
1254;O630;CID O630;Gravidez, parto e puerpério
1255;N850;CID N850;Doenças do aparelho geniturinário
1256;D251;CID D251;Neoplasias / Doenças do sangue
1257;H547;CID H547;Doenças dos olhos / ouvidos
1258;J948;CID J948;Doenças do aparelho respiratório
1259;I614;CID I614;Doenças do aparelho circulatório
1260;K461;CID K461;Doenças do aparelho digestivo
1261;H449;CID H449;Doenças dos olhos / ouvidos
1262;I252;CID I252;Doenças do aparelho circulatório
1263;E11;CID E11;Doenças endócrinas e metabólicas
1264;F100;CID F100;Transtornos mentais e comportamentais
1265;A408;CID A408;Doenças infecciosas e parasitárias
1266;A279;CID A279;Doenças infecciosas e parasitárias
1267;C819;CID C819;Neoplasias
1268;F023;CID F023;Transtornos mentais e comportamentais
1269;F115;CID F115;Transtornos mentais e comportamentais
1270;F206;CID F206;Transtornos mentais e comportamentais
1271;F203;CID F203;Transtornos mentais e comportamentais
1272;F329;CID F329;Transtornos mentais e comportamentais
1273;T039;CID T039;Lesões e causas externas
1274;E117;CID E117;Doenças endócrinas e metabólicas
1275;S318;CID S318;Lesões e causas externas
1276;K292;CID K292;Doenças do aparelho digestivo
1277;K31;CID K31;Doenças do aparelho digestivo
1278;S449;CID S449;Lesões e causas externas
1279;I718;CID I718;Doenças do aparelho circulatório
1280;I830;CID I830;Doenças do aparelho circulatório
1281;E52;CID E52;Doenças endócrinas e metabólicas
1282;T793;CID T793;Lesões e causas externas
1283;N809;CID N809;Doenças do aparelho geniturinário
1284;D630;CID D630;Neoplasias / Doenças do sangue
1285;K299;CID K299;Doenças do aparelho digestivo
1286;I493;CID I493;Doenças do aparelho circulatório
1287;F30;CID F30;Transtornos mentais e comportamentais
1288;N499;CID N499;Doenças do aparelho geniturinário
1289;K830;CID K830;Doenças do aparelho digestivo
1290;C438;CID C438;Neoplasias
1291;E039;CID E039;Doenças endócrinas e metabólicas
1292;E041;CID E041;Doenças endócrinas e metabólicas
1293;I635;CID I635;Doenças do aparelho circulatório
1294;L904;CID L904;Doenças da pele
1295;T888;CID T888;Lesões e causas externas
1296;C810;CID C810;Neoplasias
1297;D374;CID D374;Neoplasias / Doenças do sangue
1298;N898;CID N898;Doenças do aparelho geniturinário
1299;S761;CID S761;Lesões e causas externas
1300;S40;CID S40;Lesões e causas externas
1301;K630;CID K630;Doenças do aparelho digestivo
1302;Z748;CID Z748;Fatores que influenciam o estado de saúde
1303;T30;CID T30;Lesões e causas externas
1304;I20;CID I20;Doenças do aparelho circulatório
1305;L08;CID L08;Doenças da pele
1306;J64;CID J64;Doenças do aparelho respiratório
1307;K62;CID K62;Doenças do aparelho digestivo
1308;S122;CID S122;Lesões e causas externas
1309;T810;CID T810;Lesões e causas externas
1310;H181;CID H181;Doenças dos olhos / ouvidos
1311;N360;CID N360;Doenças do aparelho geniturinário
1312;K603;CID K603;Doenças do aparelho digestivo
1313;F32;CID F32;Transtornos mentais e comportamentais
1314;F109;CID F109;Transtornos mentais e comportamentais
1315;R060;CID R060;Sintomas e sinais anormais
1316;F700;CID F700;Transtornos mentais e comportamentais
1317;A630;CID A630;Doenças infecciosas e parasitárias
1318;R001;CID R001;Sintomas e sinais anormais
1319;T012;CID T012;Lesões e causas externas
1320;J182;CID J182;Doenças do aparelho respiratório
1321;E109;CID E109;Doenças endócrinas e metabólicas
1322;G008;CID G008;Doenças do sistema nervoso
1323;S315;CID S315;Lesões e causas externas
1324;C491;CID C491;Neoplasias
1325;O715;CID O715;Gravidez, parto e puerpério
1326;O996;CID O996;Gravidez, parto e puerpério
1327;O241;CID O241;Gravidez, parto e puerpério
1328;O989;CID O989;Gravidez, parto e puerpério
1329;B178;CID B178;Doenças infecciosas e parasitárias
1330;K633;CID K633;Doenças do aparelho digestivo
1331;P611;CID P611;Afecções perinatais
1332;M069;CID M069;Doenças do sistema osteomuscular
1333;T920;CID T920;Lesões e causas externas
1334;C502;CID C502;Neoplasias
1335;D528;CID D528;Neoplasias / Doenças do sangue
1336;J040;CID J040;Doenças do aparelho respiratório
1337;K704;CID K704;Doenças do aparelho digestivo
1338;F315;CID F315;Transtornos mentais e comportamentais
1339;N802;CID N802;Doenças do aparelho geniturinário
1340;S981;CID S981;Lesões e causas externas
1341;O862;CID O862;Gravidez, parto e puerpério
1342;G634;CID G634;Doenças do sistema nervoso
1343;O83;CID O83;Gravidez, parto e puerpério
1344;R34;CID R34;Sintomas e sinais anormais
1345;G621;CID G621;Doenças do sistema nervoso
1346;L270;CID L270;Doenças da pele
1347;B349;CID B349;Doenças infecciosas e parasitárias
1348;B252;CID B252;Doenças infecciosas e parasitárias
1349;B330;CID B330;Doenças infecciosas e parasitárias
1350;T410;CID T410;Lesões e causas externas
1351;H609;CID H609;Doenças dos olhos / ouvidos
1352;J860;CID J860;Doenças do aparelho respiratório
1353;G062;CID G062;Doenças do sistema nervoso
1354;Q530;CID Q530;Malformações congênitas
1355;Q790;CID Q790;Malformações congênitas
1356;Q444;CID Q444;Malformações congênitas
1357;J961;CID J961;Doenças do aparelho respiratório
1358;J869;CID J869;Doenças do aparelho respiratório
1359;L720;CID L720;Doenças da pele
1360;Q250;CID Q250;Malformações congênitas
1361;D693;CID D693;Neoplasias / Doenças do sangue
1362;Q256;CID Q256;Malformações congênitas
1363;Q251;CID Q251;Malformações congênitas
1364;Q255;CID Q255;Malformações congênitas
1365;T880;CID T880;Lesões e causas externas
1366;Q699;CID Q699;Malformações congênitas
1367;C919;CID C919;Neoplasias
1368;Z931;CID Z931;Fatores que influenciam o estado de saúde
1369;N052;CID N052;Doenças do aparelho geniturinário
1370;L309;CID L309;Doenças da pele
1371;K522;CID K522;Doenças do aparelho digestivo
1372;L500;CID L500;Doenças da pele
1373;I370;CID I370;Doenças do aparelho circulatório
1374;P299;CID P299;Afecções perinatais
1375;J042;CID J042;Doenças do aparelho respiratório
1376;K210;CID K210;Doenças do aparelho digestivo
1377;P614;CID P614;Afecções perinatais
1378;E807;CID E807;Doenças endócrinas e metabólicas
1379;N136;CID N136;Doenças do aparelho geniturinário
1380;D619;CID D619;Neoplasias / Doenças do sangue
1381;G710;CID G710;Doenças do sistema nervoso
1382;J168;CID J168;Doenças do aparelho respiratório
1383;D381;CID D381;Neoplasias / Doenças do sangue
1384;L303;CID L303;Doenças da pele
1385;L728;CID L728;Doenças da pele
1386;L033;CID L033;Doenças da pele
1387;K20;CID K20;Doenças do aparelho digestivo
1388;I255;CID I255;Doenças do aparelho circulatório
1389;O211;CID O211;Gravidez, parto e puerpério
1390;N907;CID N907;Doenças do aparelho geniturinário
1391;N838;CID N838;Doenças do aparelho geniturinário
1392;T424;CID T424;Lesões e causas externas
1393;E147;CID E147;Doenças endócrinas e metabólicas
1394;M139;CID M139;Doenças do sistema osteomuscular
1395;N736;CID N736;Doenças do aparelho geniturinário
1396;D27;CID D27;Neoplasias / Doenças do sangue
1397;N363;CID N363;Doenças do aparelho geniturinário
1398;N81;CID N81;Doenças do aparelho geniturinário
1399;N881;CID N881;Doenças do aparelho geniturinário
1400;A310;CID A310;Doenças infecciosas e parasitárias
1401;E738;CID E738;Doenças endócrinas e metabólicas
1402;J45;CID J45;Doenças do aparelho respiratório
1403;E114;CID E114;Doenças endócrinas e metabólicas
1404;A04;CID A04;Doenças infecciosas e parasitárias
1405;O829;CID O829;Gravidez, parto e puerpério
1406;R398;CID R398;Sintomas e sinais anormais
1407;C798;CID C798;Neoplasias
1408;G432;CID G432;Doenças do sistema nervoso
1409;K259;CID K259;Doenças do aparelho digestivo
1410;G459;CID G459;Doenças do sistema nervoso
1411;A049;CID A049;Doenças infecciosas e parasitárias
1412;K508;CID K508;Doenças do aparelho digestivo
1413;O600;CID O600;Gravidez, parto e puerpério
1414;A91;CID A91;Doenças infecciosas e parasitárias
1415;L308;CID L308;Doenças da pele
1416;C718;CID C718;Neoplasias
1417;A044;CID A044;Doenças infecciosas e parasitárias
1418;E139;CID E139;Doenças endócrinas e metabólicas
1419;M242;CID M242;Doenças do sistema osteomuscular
1420;F119;CID F119;Transtornos mentais e comportamentais
1421;C790;CID C790;Neoplasias
1422;K738;CID K738;Doenças do aparelho digestivo
